0.91706 25.498 89.276
1.5168 26.551 89.457
2.1014 27.594 89.632
2.6658 28.649 89.811
3.2783 29.687 89.992
3.8237 30.712 90.168
4.3554 31.745 90.347
4.8751 32.778 90.525
5.3838 33.805 90.701
5.8821 34.823 90.877
6.3707 35.856 91.055
6.8506 36.878 91.231
7.3221 37.89 91.402
7.7862 38.913 91.578
8.2439 39.943 91.757
8.6912 40.956 91.93
9.193 41.983 92.106
9.6336 43.008 92.284
10.072 44.028 92.458
10.508 45.051 92.631
10.902 46.078 92.805
11.327 47.114 92.981
11.705 48.144 93.154
12.107 49.174 93.33
12.515 50.212 93.503
12.871 51.24 93.674
13.238 52.285 93.848
13.606 53.326 94.021
13.979 54.366 94.192
14.361 55.419 94.36
14.7 56.467 94.528
15.095 57.52 94.694
15.451 58.568 94.86
15.819 59.627 95.023
16.199 60.687 95.184
16.572 61.748 95.344
16.956 62.809 95.5
17.353 63.875 95.648
17.76 64.948 95.796
18.165 66.014 95.941
18.578 67.083 96.081
19.005 68.149 96.212
19.44 69.222 96.336
19.897 70.301 96.454
20.379 71.369 96.566
20.891 72.44 96.668
21.398 73.511 96.76
21.91 74.582 96.844
22.48 75.653 96.915
23.057 76.717 96.974
23.648 77.783 97.022
24.292 78.846 97.053
24.945 79.899 97.071
25.617 80.95 97.073
26.339 81.993 97.056
27.084 83.033 97.022
27.854 84.071 96.969
28.657 85.096 96.895
29.488 86.111 96.801
30.358 87.121 96.686
31.245 88.118 96.546
32.189 89.11 96.385
33.158 90.086 96.199
34.147 91.053 95.99
35.177 92.001 95.75
36.23 92.945 95.49
37.314 93.873 95.197
38.431 94.783 94.88
39.576 95.681 94.539
40.741 96.563 94.172
41.948 97.43 93.774
43.172 98.282 93.353
44.411 99.118 92.902
45.678 99.937 92.427
46.966 100.74 91.922
48.274 101.53 91.4
49.605 102.3 90.851
50.936 103.05 90.275
52.298 103.78 89.678
53.67 104.5 89.064
55.06 105.21 88.424
56.454 105.89 87.763
57.862 106.57 87.088
59.277 107.22 86.394
60.703 107.87 85.68
62.133 108.5 84.956
63.579 109.12 84.214
65.033 109.72 83.456
66.481 110.31 82.689
67.942 110.89 81.914
69.401 111.46 81.126
70.875 112.02 80.328
72.344 112.57 79.522
73.822 113.11 78.716
75.296 113.64 77.9
76.778 114.16 77.071
78.267 114.68 76.248
79.751 115.19 75.414
81.243 115.69 74.58
82.735 116.19 73.746
84.234 116.68 72.902
85.731 117.17 72.068
87.233 117.65 71.227
88.737 118.13 70.388
90.242 118.6 69.541
91.757 119.08 68.705
93.271 119.55 67.866
94.786 120.01 67.024
96.311 120.48 66.19
97.838 120.94 65.351
99.368 121.4 64.525
100.91 121.86 63.691
102.45 122.32 62.87
104 122.78 62.047
105.56 123.24 61.231
107.12 123.7 60.427
108.7 124.15 59.614
110.28 124.61 58.818
111.87 125.07 58.028
113.47 125.53 57.237
115.09 125.99 56.47
116.71 126.45 55.707
118.35 126.91 54.953
120 127.37 54.213
121.67 127.84 53.486
123.35 128.3 52.782
125.05 128.77 52.091
126.77 129.24 51.411
128.5 129.71 50.76
130.25 130.18 50.143
132.03 130.65 49.547
133.82 131.13 48.97
135.64 131.6 48.435
137.48 132.08 47.943
139.34 132.56 47.478
141.22 133.04 47.055
143.13 133.52 46.678
145.06 134 46.351
147.01 134.48 46.081
